source_image_id,filename,filepath,source_group,sha256,width,height,blur_score,brightness,quality_status,notes
IMG_0010,P_20260903_203701_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203701_1_1.jpg,P_20260903_203701,7184d679edd07a0c238855d6a0af38f00c67753e743a1ab77c77f70a41837656,1294,414,244.19959636548592,157.55410889351822,usable,
IMG_0011,P_20260903_203701_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203701_1_2.jpg,P_20260903_203701,9837f8a45370444e2f634d39f219a2cf8e5f9f87ffd24d218b4ca4e3696dee35,1294,922,229.49218398275232,155.91510626385084,usable,
IMG_0012,P_20260903_203706_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203706_1_1.jpg,P_20260903_203706,5e4940b8f189357f753a0e596de8627f1085be7b97460f900729b8d0009fc140,1546,650,65.80922288798718,152.33986963877004,usable,
IMG_0013,P_20260903_203706_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203706_1_2.jpg,P_20260903_203706,81209f1214fbfbe9285c673cd561cde14307231b4fa728dbd6eeb18fa055cb0f,1546,812,91.96671734382898,145.25639501908628,usable,
IMG_0014,P_20260903_203709_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203709_1_1.jpg,P_20260903_203709,687461f567ae0f7dc3dc3a78663f150aedbfe7dd948187dd2e6ff9aa438147fc,1454,502,105.9640651988772,161.33320500665837,usable,
IMG_0015,P_20260903_203709_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203709_1_2.jpg,P_20260903_203709,444dfd036059d2405629fdba804a656678493e7baf3c7bc0015f393dda6f60c0,1454,585,173.45442875732283,155.90765586240138,usable,
IMG_0016,P_20260903_203709_1_3.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203709_1_3.jpg,P_20260903_203709,4d0794e25ce57adf6b5ed554143e96f2b418a4556ed637706ae0f2aa9de0e8ba,1453,382,247.91287608558858,151.72883688919478,usable,
IMG_0017,P_20260903_203715_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203715_1_1.jpg,P_20260903_203715,eb69d85f3702e8d06d103472fcb26e91a7b51c9d765374969e2f7a0a7e9d5164,1426,421,176.68020433812353,155.5216025425338,usable,
IMG_0018,P_20260903_203715_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203715_1_2.jpg,P_20260903_203715,750e0f6e5afd3ff950f4886db9579fe977bef59a22fcb10acf4e203f77676ecc,1426,728,237.1080170380482,149.41535725844983,usable,
IMG_0019,P_20260903_203715_1_3.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203715_1_3.jpg,P_20260903_203715,c802dbe7f7d7b68d2b9b8f71a0cc5682bdb3a36aad688e57aa9caeb76b14083b,1426,518,250.00154849931562,146.5507426881901,usable,
IMG_0020,P_20260903_203718_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203718_1_1.jpg,P_20260903_203718,6d6ffdd2e37d9be8a62130d0534726dcddcf1c68a666f742f9781069c2133baf,1350,286,301.7645813281944,159.17778036778037,usable,
IMG_0021,P_20260903_203718_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203718_1_2.jpg,P_20260903_203718,9e4253093c0cddcfcbab626feaafbc0023bb4d1779ae95dacbbaf80b59458f25,1343,664,210.5471236717019,156.27862118615937,usable,
IMG_0022,P_20260903_203722_1_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203722_1_1_1.jpg,P_20260903_203722,3c7a1f54fa74e320e6466f21b6b22cfc35e41108e755a41fb850cf1b81243cf1,1492,484,110.61698595187046,150.2928649768462,usable,
IMG_0023,P_20260903_203722_1_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203722_1_1_2.jpg,P_20260903_203722,9e7bc959e9d226a3929c0aa65a9a108416830cedb4d7bea176390acfc5aa43d5,1492,531,167.19239767171584,148.890427540732,usable,
IMG_0024,P_20260903_203724_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203724_1_1.jpg,P_20260903_203724,ac30e31455801703a88bf696334f37ed6de12290b4070a6a83429e6c7b947b8e,1408,444,118.26611703125681,158.8634524083743,usable,
IMG_0025,P_20260903_203724_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203724_1_2.jpg,P_20260903_203724,313d8d3eaffa08697b9541e958dd9ea10926e129e3de13053915740aba495e49,1408,780,129.76457464066632,156.89212740384616,usable,
IMG_0026,P_20260903_203724_1_3.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203724_1_3.jpg,P_20260903_203724,848315c97dad80b67a2a94ab6ce6c5e0b48381ce8f0daa8754515fca909fd6a9,1408,304,279.4827637159029,153.29495458283492,usable,
IMG_0027,P_20260903_203729_1_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203729_1_1_1.jpg,P_20260903_203729,0dfb96cd3de02af9a6512064599a810111521931ccf08d35ec6d13360e29472f,1484,349,137.5983408608443,156.34597116134663,usable,
IMG_0028,P_20260903_203729_1_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203729_1_1_2.jpg,P_20260903_203729,e25cdd55b312b66dd5f61046efd1ac0b01b7ad84c1ca865ab964240893f92ae3,1484,952,133.18203811812384,149.91879062945932,usable,
IMG_0029,P_20260903_203731_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203731_1_1.jpg,P_20260903_203731,7f372d92647506c50a6de23785dee9cab5e36f39a35ea4307379307a8951f1c8,1400,387,64.96432793653246,156.33615356220008,usable,
IMG_0030,P_20260903_203731_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203731_1_2.jpg,P_20260903_203731,de2bae1087edd7b2ba8fe4fe32b65e3249921017b425cba8a23e6dc345763d63,1310,314,71.99919446394077,157.46733359264843,usable,
IMG_0031,P_20260903_203731_1_3.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203731_1_3.jpg,P_20260903_203731,3f7f0dd3c846bc63a5b0019dd0fd3123cd269892f6ca588bc817c0a7c129caf9,1314,202,37.97619789148396,155.22026312220262,reject,
IMG_0032,P_20260903_203735_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203735_1_1.jpg,P_20260903_203735,8dd031d6daf122acef5b8ca1763a005e18682f62530f14b095b5cbb81e40a0c9,1394,199,50.929169103468745,153.52737503875187,usable,
IMG_0033,P_20260903_203735_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203735_1_2.jpg,P_20260903_203735,950207002980c53115c36fc353315251736c7288e374cb85808442fd1b6ee673,1358,671,110.04171693721914,150.89539056515565,usable,
IMG_0034,P_20260903_203735_1_3.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203735_1_3.jpg,P_20260903_203735,32cdab39344ac30123ea2481e39be6af89a764c41c3bb19c2e00a8e3d6702c59,1451,537,89.03419793818253,148.4027929110727,usable,
IMG_0035,P_20260903_203737_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203737_1_1.jpg,P_20260903_203737,a5bec744ffe67bd62a1a0420f5c3908097cc43603ad2217febc4c131b803f67c,1402,199,63.26890995087973,159.6741732915648,usable,
IMG_0036,P_20260903_203737_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203737_1_2.jpg,P_20260903_203737,12fbe7deeb1977eb6f73b045d93007c88c2d1de0b50c66d0ebb66a9e17df1cd9,1402,363,154.33973522408246,158.29924586285628,usable,
IMG_0037,P_20260903_203737_1_3.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203737_1_3.jpg,P_20260903_203737,47068109768ddc54f45ae5bc5647e8bae63696be21491be6d8e5e2a0f9f3bf4f,1402,379,239.44721426175522,156.10468460058942,usable,
IMG_0038,P_20260903_203737_1_4.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203737_1_4.jpg,P_20260903_203737,56acdbfe1e77fe68469121d34eacd2c4e665d0f3330e37f1f158a297acbe10ef,1402,296,286.34360696841503,150.70777508964028,usable,
IMG_0039,P_20260903_203744_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203744_1_1.jpg,P_20260903_203744,c41acaad573e66537030f93e39c962739a16d1e549bc1f640244b017812e540c,1510,344,225.37801876057497,150.37428576929,usable,
IMG_0040,P_20260903_203744_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203744_1_2.jpg,P_20260903_203744,be34696a86bc0b9b9e1766a43ee79b0e1964a80ad6a44cde9bc64eaf32310bde,1510,660,238.98592849442775,150.91466787076058,usable,
IMG_0041,P_20260903_203746_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203746_1_1.jpg,P_20260903_203746,7ef3f9e23f17e5ffe7d684d25a354f6667551d240db8e605d9a08dd8862089c2,1314,551,208.1636699483813,152.51204120362314,usable,
IMG_0042,P_20260903_203750_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203750_1_1.jpg,P_20260903_203750,f479fdd9e4261680ce07f47b2785e47493ac6254752876728def1fa77c274924,1410,280,60.49783422957798,154.3862462006079,usable,
IMG_0043,P_20260903_203751_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203751_1_1.jpg,P_20260903_203751,81d29f3fadec2c4d005a0cc1d4e7b23f0bed56187dec90cfc9f437af53408287,1480,850,153.92411182154467,155.13463990461048,usable,
IMG_0044,P_20260903_203751_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203751_1_2.jpg,P_20260903_203751,9d26c6f88cccbc48fdb10f3b3e53e7259d30aedc6567f9b76d0aa43d9304b101,1480,676,256.5451197367212,151.00257876219413,usable,
IMG_0045,P_20260903_203755_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203755_1_1.jpg,P_20260903_203755,10c2a2cac7beacd56c1790ff8c0eec6231ee5123b983fb883f4bb69f598150b5,1402,200,70.94720027125251,152.9336233951498,usable,
IMG_0046,P_20260903_203755_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203755_1_2.jpg,P_20260903_203755,29eb349c0cefb1b7cac423802180199812086650c079b07dbc7416a6ea64a6bb,1435,923,148.94537542524938,147.76351618151688,usable,
IMG_0047,P_20260903_203755_1_3.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203755_1_3.jpg,P_20260903_203755,1144b2ba1eac541497456fcbc88f35778c2795bd4c4c7df2c0de781b148a09a7,1498,547,265.8188860859816,142.59430978049954,usable,
IMG_0048,P_20260903_203757_1_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203757_1_1_1.jpg,P_20260903_203757,adb088e4eceac6be59d93080c6fbe542857b4b513589adaaab32572366972ba3,1300,438,143.42201515651772,160.16356691253952,usable,
IMG_0049,P_20260903_203757_1_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203757_1_1_2.jpg,P_20260903_203757,6fbd02d2e73929e43bcb8a04ec86b56dd2d577d4f768a3ed67a8a0d98ccd1b86,1300,880,250.42638998717538,156.30364597902098,usable,
IMG_0050,P_20260903_203800_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203800_1_1.jpg,P_20260903_203800,f303fc09bbd7a9c6d8984beb9dc767f42c60118b2c3ce21267284cc00822f7d1,1310,415,154.17075184839888,155.60629081210337,usable,
IMG_0051,P_20260903_203800_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203800_1_2.jpg,P_20260903_203800,a29d98e6009b012375a107390ade78fe702c0f79a5e17989f693f658dfddd3a2,1252,337,73.931719930598,155.19132118580598,usable,
IMG_0052,P_20260903_203800_1_3.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203800_1_3.jpg,P_20260903_203800,4b9783ff1f92047f45f08cff4c620ec695b86da21ce258d13c785dedbcc6b639,1310,392,108.74570733400552,152.80022004985202,usable,
IMG_0053,P_20260903_203802_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203802_1_1.jpg,P_20260903_203802,932a15ab471b761d77611281c363c63b5cb4eec5a84f17e58d75c7b8614c33a2,1280,585,133.3873782453564,164.18887419871794,usable,
IMG_0054,P_20260903_203802_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203802_1_2.jpg,P_20260903_203802,7c02dc519e4614401deec0b7a72075a5fa223c56086348d1e68f912003b911e4,1280,667,177.92538170326827,158.1798058002249,usable,
IMG_0055,P_20260903_203802_1_3.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203802_1_3.jpg,P_20260903_203802,0352453717d555a78e0b246f7104cb8d61f075b4a62ce5bc92390cde4c74c292,1280,665,187.44610859621775,153.89716517857144,usable,
IMG_0056,P_20260903_203808_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203808_1_1.jpg,P_20260903_203808,d6f35f4c7b5232dc8439fc0451c85744498880dbf2b1d3433151bc91d9ed3721,1394,373,150.7744342396704,148.16170797096711,usable,
IMG_0057,P_20260903_203810_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203810_1_1.jpg,P_20260903_203810,fb7aaa40c09924ebb9144f183466d01b4782a8428e6d846b37a3a88e0b7b673f,970,300,233.44102172581805,164.2687972508591,usable,
IMG_0058,P_20260903_203810_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203810_1_2.jpg,P_20260903_203810,7c05a8426634f13ed25b047d50924abe39e7c42c49849f44999f60244547782f,821,417,155.96288993647474,159.4120756987589,usable,
IMG_0059,P_20260903_203810_1_3.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203810_1_3.jpg,P_20260903_203810,70da6178794d9367354b119daf1ce694094ede7120525adee06fdb33ba5e9684,842,504,189.52476252402025,156.59874684236323,usable,
IMG_0060,P_20260903_203810_1_4.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203810_1_4.jpg,P_20260903_203810,a4f1ea3788e73208a021cea029683fbe9b40eaf29545124d1530b60ac72b7d38,970,459,182.9696050272179,153.2370954338207,usable,
IMG_0061,P_20260903_203814_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203814_1_1.jpg,P_20260903_203814,e144117e271ebf8cadf0c5ce7901e9fb8d95762df7c8e05da9a0809066e94f32,1355,633,94.69319501247554,149.304349346811,usable,
IMG_0062,P_20260903_203814_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203814_1_2.jpg,P_20260903_203814,e30acee2ffac231ec9e01c7561a1b101665f1afb3f613eb87c1ffec1b56f07ef,1330,681,107.65503640225124,144.28701378998156,usable,
IMG_0063,P_20260903_203816_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203816_1_1.jpg,P_20260903_203816,d662cfd8809d4575c45110ab0921166fb7835f65b67e0446dcfd2abde23ac692,1288,595,123.69941602779355,163.70894357743097,usable,
IMG_0064,P_20260903_203816_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203816_1_2.jpg,P_20260903_203816,278121a772d6a9ff6bf440d319e8ab66294363dcdcf5f2a8113416719dd869b4,1288,604,218.83971862415973,161.27815469334868,usable,
IMG_0065,P_20260903_203820_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203820_1_1.jpg,P_20260903_203820,6547205a330ad322147924e9f9006d1995cdc65463efbcd1f2b5d89835480882,1380,274,193.87011528839744,153.23644610176663,usable,
IMG_0066,P_20260903_203820_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203820_1_2.jpg,P_20260903_203820,b9a84fc534527a115f5a150930f0e1c7062dbd93c7f2eb9e83cc415622582c16,1380,311,177.03274613896534,150.21039424017894,usable,
IMG_0067,P_20260903_203823_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203823_1_1.jpg,P_20260903_203823,3080e3e25f96f739ebbfe0ac96333fa5e3e6b70ad8b6a1813e462edca49d147e,1141,585,189.32803037269795,156.91228267301886,usable,
IMG_0068,P_20260903_203823_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203823_1_2.jpg,P_20260903_203823,08a66ec957d1a58a410a91714769e6a0fc6d18b716a2fc84db3fcaaa2a74d90f,1226,467,152.35198583463568,152.34124308784334,usable,
IMG_0069,P_20260903_203826_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203826_1_1.jpg,P_20260903_203826,bbf50797f1772856dfd5840696138b0ddb81ca5110eafd7d315c06a8f9b86719,1356,198,83.20249105919466,159.58469652274962,usable,
IMG_0070,P_20260903_203826_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203826_1_2.jpg,P_20260903_203826,a5a9e7dd4297bb9627a0581010c5ceffe27f8e0dc6d4ba747b68c0bc43965dc9,1330,707,250.49157093755278,151.45590496751072,usable,
IMG_0071,P_20260903_203828_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203828_1_1.jpg,P_20260903_203828,08174380c95a951c5772fe819e68f6911c3816ae01208343968e0525972b287d,1360,259,138.6414680173298,161.65966670451965,usable,
IMG_0072,P_20260903_203828_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203828_1_2.jpg,P_20260903_203828,0c91dc3ba94c4e7723c041837bf63b2cff4942e143df456a2eb7734de5f2f57d,1360,975,160.5300452408831,159.56760407239818,usable,
IMG_0073,P_20260903_203832_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203832_1_1.jpg,P_20260903_203832,1f64ee880997ab22cdd4ec226a596d8a18675dba374bace88fec313631cef0de,1348,803,136.94167947807225,155.92295582958565,usable,
IMG_0074,P_20260903_203832_1_2_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203832_1_2_1.jpg,P_20260903_203832,ede5155cae55f5bdfb3756e515ea319225e7dc834783fa8eea6646b52e8f5cd8,1348,290,184.26223357113648,150.446605443569,usable,
IMG_0075,P_20260903_203832_1_2_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203832_1_2_2.jpg,P_20260903_203832,7051b9d0113c456e532b6c886884ed6e2563de94c10c6cbedea261408e7ccca1,1348,298,226.14628804118723,148.04848346045844,usable,
IMG_0076,P_20260903_203834_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203834_1_1.jpg,P_20260903_203834,df8786cc68685b09d675effc0bf3a15af1fae28a6a541c3d7a5f81cb8816c74b,1328,633,139.52195146533373,155.97306643636156,usable,
IMG_0077,P_20260903_203834_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203834_1_2.jpg,P_20260903_203834,74d754b98b2687712e52a5fc13348c332707a9be035c522fc84dacc27b508fde,1328,770,159.89895597081906,151.50506767329057,usable,
IMG_0078,P_20260903_203838_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203838_1_1.jpg,P_20260903_203838,9352b9f0b70d4c748d6f1f5d56d5485b6794e3bc6eac6ab15d62a27bdd0c499f,1398,713,219.81404950993598,153.94084516650716,usable,
IMG_0079,P_20260903_203838_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203838_1_2.jpg,P_20260903_203838,c4166005eb4d6cb25923ce04ab6b4f89f6256fa23a32f93f0e8dcc99eb158fb7,1398,202,232.13890952520964,150.21843793821444,usable,
IMG_0080,P_20260903_203840_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203840_1_1.jpg,P_20260903_203840,42f1afea125a0ed547a3e230dd11dc50ed9a7a6a0cef540660f2be2a4738aa41,1388,369,95.53580351447827,156.69267355497763,usable,
IMG_0081,P_20260903_203840_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203840_1_2.jpg,P_20260903_203840,316cf2e199aa545e504c2a39ac25ee45f684238036bc9f01ea3050b06496c8fa,1388,335,82.30805137961124,155.35071615983483,usable,
IMG_0082,P_20260903_203840_1_3.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203840_1_3.jpg,P_20260903_203840,0e6a831467d56156a24881dbd7e1df0e8d16db92caac4c85af1e3c6fb89786a4,1274,312,49.32719030379737,154.36477579197359,reject,
IMG_0083,P_20260903_203840_1_4.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203840_1_4.jpg,P_20260903_203840,16ee079815be755c94faa3518df351f500d5802b066bc75dd681b45529e22f59,1358,293,37.72296514810927,152.6407585939974,reject,
IMG_0084,P_20260903_203844_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203844_1_1.jpg,P_20260903_203844,a7c05b51d0caceb8312edfa44bdd591088ec379d22522cbe0a34692796c41b0f,1308,186,176.77992354029593,155.24699122028213,usable,
IMG_0085,P_20260903_203844_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203844_1_2.jpg,P_20260903_203844,0bb86677b248f62e6aac1ed8e47a4dd78100d8bf7203c03a196cd272b4168495,1308,291,301.25135529237224,149.52205040091638,usable,
IMG_0086,P_20260903_203844_1_3.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203844_1_3.jpg,P_20260903_203844,86021771c69b68b16b7d7af7deacff36f01ae2c1e4a4e05a265d7f9b0c535b7f,1308,913,502.8255638709148,150.98138006571742,usable,
IMG_0087,P_20260903_203847_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203847_1_1.jpg,P_20260903_203847,8de9faf982bd2792ee1e88f470c616e27ddfab143c06cdad6941afc4d90f9b18,1322,371,97.9536039984407,157.63445689982098,usable,
IMG_0088,P_20260903_203847_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203847_1_2.jpg,P_20260903_203847,3b2c4c0e9a28c523f7adfcdbd4da841dbf2e415d680b1f46b0ae0a9f56928cf0,1251,1060,234.33356968183062,155.36167745049244,usable,
IMG_0089,P_20260903_203850_1_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203850_1_1_1.jpg,P_20260903_203850,cbf33f1133c2b456d65e4766c57fb672b2b78a78d17010a65aa68b97f8f3229d,1428,375,48.3502278092274,157.9856619981326,reject,
IMG_0090,P_20260903_203850_1_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203850_1_1_2.jpg,P_20260903_203850,434eea8551fa9817da40e1670d5e74a576f3c8cc09918d6c20c8cd6158dca92d,1428,425,66.5997962229196,155.89369747899158,usable,
IMG_0091,P_20260903_203850_1_1_3.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203850_1_1_3.jpg,P_20260903_203850,40f8ceb5b94b5ad43265bfe661b096d2eb6e55327ca15f0ed3a742149f438ee4,1428,358,101.51706661345882,150.04592898611958,usable,
IMG_0092,P_20260903_203852_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203852_1_1.jpg,P_20260903_203852,4e5ff2e811bd29e041d2b25096ea8632d5be882052d44c5a3142271dd98bf4b6,1294,651,87.01226616245555,163.2909410560854,usable,
IMG_0093,P_20260903_203852_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203852_1_2.jpg,P_20260903_203852,f8210459110f15fe980127a3616a5acca4e34d71790ea618d9f130c9c482b840,1294,334,139.20602924693708,160.20529574544884,usable,
IMG_0094,P_20260903_203852_1_3.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203852_1_3.jpg,P_20260903_203852,89180651f736b9edf11b1ac30c7bb896bbc320d7cb511ff9c708f0574e40f0cc,1254,668,171.99864067641303,151.43868602507902,usable,
IMG_0095,P_20260903_203856_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203856_1_1.jpg,P_20260903_203856,1b323940562de8fb4a6a3e1365e917d96537a26b18d9479036493831d3398f0c,1514,466,103.78623866964246,149.63022661170987,usable,
